,part_of_speech,absolute_frequency,mean_frequency,relative_frequency,standard_deviation,confidence_interval_2sd,coefficient_of_variation,confidence_interval_2s,coef_of_var,max_coeff_of_var,coefficient_of_stability,relative_error,standard_error
0,NOUN,4288,214.4,0.2144,43.689129082644804,"(127.0217418347104, 301.7782581652896)",9.76918625065568,"(194.86162749868865, 233.93837250131136)",0.20377392296009703,4.358898943540674,0.953251055920426,0.029931513867294778,10.02297361066066
1,ADJ,1687,84.35,0.08435,29.626466208442746,"(25.0970675831145, 143.6029324168855)",6.624679237517843,"(71.1006415249643, 97.59935847503569)",0.3512325573022258,4.358898943540674,0.9194217251072757,0.047719790687266374,6.796777487201291
2,NUM,76,3.8,0.0038,2.4617067250182343,"(-1.1234134500364688, 8.723413450036468)",0.5504543577809153,"(2.699091284438169, 4.9009087155618305)",0.6478175592153248,4.358898943540674,0.8513804592383802,0.2248274191931505,0.5647542548941553
3,PRON,1279,63.95,0.06395,21.169494561750877,"(21.61101087649825, 106.28898912350175)",4.733642888938708,"(54.48271422212259, 73.41728577787742)",0.33103197125490036,4.358898943540674,0.9240560573799383,0.05480507786521568,4.856615130552943
4,DET,1084,54.2,0.0542,11.53082824431966,"(31.138343511360684, 77.26165648863932)",2.578371579117331,"(49.04325684176534, 59.356743158234664)",0.21274590856678338,4.358898943540674,0.951192741258192,0.05953076044461712,2.6453534238059957
5,VERB,2850,142.5,0.1425,30.7514227313144,"(80.9971545373712, 204.00284546262878)",6.876227163205124,"(128.74754567358974, 156.25245432641026)",0.21579945776360981,4.358898943540674,0.9504922090282921,0.03671416381400241,7.054860213468367
6,AUX,212,10.6,0.0106,3.826225293941799,"(2.947549412116402, 18.252450587883597)",0.8555699854482977,"(8.888860029103405, 12.311139970896594)",0.3609646503718678,4.358898943540674,0.9171890298336072,0.13461335266971525,0.8777962837637636
7,ADV,1265,63.25,0.06325,11.330820799924425,"(40.58835840015115, 85.91164159984885)",2.5336485549499557,"(58.18270289010009, 68.31729710989991)",0.17914341185651264,4.358898943540674,0.9589016827008618,0.055107512597322265,2.5994685691704875
8,SCONJ,599,29.95,0.02995,8.002968199362034,"(13.944063601275932, 45.95593639872406)",1.7895180915542594,"(26.370963816891482, 33.529036183108516)",0.26721095824247193,4.358898943540674,0.9386976019165473,0.08008342895165281,1.836006822599409
9,CCONJ,1467,73.35,0.07335,10.155171096539929,"(53.03965780692013, 93.66034219307986)",2.270765289500436,"(68.80846942099912, 77.89153057900087)",0.13844814037545916,4.358898943540674,0.9682378182727495,0.05117301606587988,2.329756029693825
10,ADP,2461,123.05,0.12305,11.582206180171376,"(99.88558763965725, 146.21441236034275)",2.589860034828137,"(117.87027993034373, 128.22972006965628)",0.09412601527973487,4.358898943540674,0.978406011128288,0.03950938454194624,2.6571403306641717
11,PART,692,34.6,0.0346,8.206095295571457,"(18.18780940885709, 51.01219059114291)",1.8349386910739005,"(30.9301226178522, 38.269877382147804)",0.23717038426507098,4.358898943540674,0.9455893822414656,0.07450802028443114,1.88260737444529
12,INTJ,2,0.1,0.0001,0.30000000000000004,"(-0.5000000000000001, 0.7000000000000001)",0.0670820393249937,"(-0.034164078649987384, 0.2341640786499874)",3.0000000000000004,4.358898943540674,0.3117527983883147,1.3859292911256331,0.06882472016116853
13,PROPN,2030,101.5,0.1015,42.08384488137936,"(17.332310237241273, 185.66768976275873)",9.410233790932082,"(82.67953241813584, 120.32046758186416)",0.4146191613929001,4.358898943540674,0.9048798408122509,0.04350188263861058,9.65469615755653
14,NONE,0,0.0,0.0,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",,4.358898943540674,,0.0,0.0
